time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
menhir-standard,2597074.,0.,2585280.,0.,2585276.,0.,1432106.,0.,1432097.,0.
menhir-sysver,8153552432.,nan,8153522224.,nan,,,,,8344713496.,0.
minilight,9664218203.,0.,9661072537.,0.,9665266779.,0.,9747431709.,0.,9747431685.,0.
numal-durand-kerner-aberth,76667112.,0.,76667116.,0.,76667114.,0.,77414765.,0.,77414786.,0.
numal-fft,274390355.,0.,274390359.,0.,274390357.,0.,264242360.,0.,264242358.,0.
numal-k-means,2563546.,0.,2563666.,0.,2563666.,0.,102494197.,0.,102494197.,0.
numal-levinson-durbin,964969369.,0.,964969373.,0.,964969373.,0.,1000786333.,0.,1000784001.,0.
numal-lu-decomposition,2318857.,0.,2318863.,0.,2318861.,0.,542217441.,0.,542217436.,0.
numal-naive-multilayer,2163946621.,0.,2169189502.,0.,2163946625.,0.,2170639393.,0.,2170639423.,0.
numal-qr-decomposition,1645825049.,0.,1645562912.,0.,1645562910.,0.,1711440719.,0.,1711440705.,0.
numal-rnd_access,1936568.,60053.1647126,1939404.,81485.6626407,1293732.66667,1097406.77277,200003742.571,14831.3726816,200010389.,27895.3625178
numal-simple_access,227632417.,0.,227632421.,0.,227632419.,0.,640006197.,0.,640006201.,0.
patdiff,,,,,,,36596917.,0.,,
sequence,749670768.,0.,749670793.,0.,749670770.,0.,750492639.,0.,750492812.,0.
sequence-cps,1502243945.,0.,1502243949.,0.,1502243949.,0.,1501298736.,0.,1501299851.,0.
setrip,168203678.,0.,169514388.,0.,169514388.,0.,170650262.,0.,170650322.,0.
setrip-smallbuf,170562989.,0.,171087555.,0.,171087555.,0.,170650237.,0.,170650267.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,975.,0.,981.,0.,979.,0.,941.,0.,939.,0.
bdd,583194.,0.,583198.,0.,583196.,0.,616827.,0.,664841.,0.
cpdf-merge,91785981.,nan,91601903.,nan,90412572.,nan,94605527.,0.,95303277.,0.
cpdf-reformat,75226891.,nan,75226803.,nan,75226835.,nan,76049963.,0.,75793761.,0.
cpdf-squeeze,132492452.,0.,132492385.,0.,132492420.,0.,138741284.,0.,138739074.,0.
