time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
kb-no-exc,37609470.,nan,37609474.,nan,37503345.,0.,37503337.,0.
lexifi-g2pp,1583340397.,0.,1579408257.,0.,1678613139.,0.,1678613459.,0.
menhir-fancy,1359641.,0.,1359670.,0.,2238238.,0.,2238235.,0.
menhir-list-errors,2407885007.,nan,,,,,2535402363.,0.
menhir-sql,1007629231.,nan,1007629239.,nan,1032167599.,0.,1032167255.,0.
menhir-standard,2585248.,0.,2585276.,0.,1432106.,0.,1432097.,0.
menhir-sysver,8153521447.,nan,,,,,8344713496.,0.
minilight,9664218203.,0.,9665266779.,0.,9747431709.,0.,9747431685.,0.
numal-durand-kerner-aberth,76667112.,0.,76667114.,0.,77414765.,0.,77414786.,0.
numal-fft,274390355.,0.,274390357.,0.,264242360.,0.,264242358.,0.
numal-k-means,2563546.,0.,2563666.,0.,102494197.,0.,102494197.,0.
numal-levinson-durbin,964969369.,0.,964969373.,0.,1000786333.,0.,1000784001.,0.
numal-lu-decomposition,2318857.,0.,2318861.,0.,542217441.,0.,542217436.,0.
numal-naive-multilayer,2163946621.,0.,2163946625.,0.,2170639393.,0.,2170639423.,0.
numal-qr-decomposition,1645825049.,0.,1645562910.,0.,1711440719.,0.,1711440705.,0.
numal-rnd_access,1970664.,32176.1869711,1293732.66667,1097406.77277,200003742.571,14831.3726816,200008725.5,13516.2063095
numal-simple_access,227632417.,0.,227632419.,0.,640006197.,0.,640006201.,0.
patdiff,,,,,36596917.,0.,36596878.,0.
sequence,749670768.,0.,749670770.,0.,750492639.,0.,750492812.,0.
sequence-cps,1502243945.,0.,1502243949.,0.,1501298736.,0.,1501299851.,0.
setrip,168203678.,0.,169514388.,0.,170650262.,0.,170650322.,0.
setrip-smallbuf,170562989.,0.,171087555.,0.,170650237.,0.,170650267.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,975.,0.,979.,0.,941.,0.,939.,0.
bdd,583194.,0.,583196.,0.,616827.,0.,664841.,0.
cpdf-merge,91785981.,nan,90412572.,nan,94605527.,0.,95303277.,0.
cpdf-reformat,75226891.,nan,75226835.,nan,76049963.,0.,75793761.,0.
cpdf-squeeze,132492452.,0.,132492420.,0.,138741284.,0.,138739074.,0.
cpdf-transform,28027014.,0.,28027018.,0.,27860239.,0.,27953626.,0.
frama-c-deflate,,,,,,,186977715.667,4179.72754295
frama-c-idct,,,,,,,2650533.,nan
jsontrip-sample,26463.,0.,26478.,0.,29441.,0.,29376.,0.
kb,4817857.,0.,4817598.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644408.,nan,4644391.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266462.,0.,265899.,0.,280169.,0.,278186.,0.
menhir-fancy,272089.,0.,272102.,0.,328731.,0.,328749.,0.
menhir-list-errors,1136597025.,nan,,,,,1151389119.,0.
menhir-sql,55248639.,nan,55248631.,nan,56164943.,0.,56163401.,0.
menhir-standard,242326.,0.,242338.,0.,271961.,0.,274012.,0.
menhir-sysver,435451328.,nan,,,,,442033173.,0.
minilight,10556471.,0.,10557519.,0.,10642310.,0.,10641824.,0.
numal-durand-kerner-aberth,227974.,0.,227979.,0.,237996.,0.,227630.,0.
numal-fft,139784459.,0.,139784461.,0.,140022140.,0.,140272143.,0.
numal-k-means,526355.,0.,526364.,0.,536219.,0.,536219.,0.
numal-levinson-durbin,240820090.,0.,240820094.,0.,250070736.,0.,250064165.,0.
numal-lu-decomposition,4624733.,0.,4624732.,0.,7775146.,0.,7775111.,0.
numal-naive-multilayer,1256512.,0.,1256522.,0.,1284119.,0.,1282790.,0.
numal-qr-decomposition,2594693.,0.,2594502.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,200000215.,0.,200000217.,0.,200000141.,0.,200000139.,0.
numal-simple_access,208961133.,0.,208961135.,0.,220001889.,0.,220001887.,0.
patdiff,,,,,8896447.,0.,9210069.,0.
sequence,37286.,0.,37288.,0.,37749.,0.,38258.,0.
sequence-cps,201397.,0.,201401.,0.,214872.,0.,222795.,0.
setrip,13191.,0.,13231.,0.,13279.,0.,13269.,0.
setrip-smallbuf,13259.,0.,13317.,0.,13279.,0.,13241.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,897.,0.,901.,0.,941.,0.,939.,0.
bdd,444232.,0.,444234.,0.,477943.,0.,525957.,0.
cpdf-merge,81093930.,nan,81048705.,nan,82892080.,0.,83597842.,0.
cpdf-reformat,64637397.,nan,64637341.,nan,65460559.,0.,65204357.,0.
cpdf-squeeze,120753140.,0.,120753108.,0.,123070655.,0.,123068445.,0.
cpdf-transform,26096995.,0.,26096999.,0.,25930310.,0.,26023697.,0.
