time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
cpdf-squeeze,1855856.,0.,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.,1790824.,0.
cpdf-transform,1855856.,0.,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.,1790824.,0.
frama-c-deflate,,,,,,,,,,,3961904.,0.
frama-c-idct,,,,,,,,,,,3961904.,0.
frama-c-monocypher,,,,,,,,,,,3961904.,0.
jsontrip-sample,368992.,0.,368968.,0.,368968.,0.,369376.,0.,344720.,0.,344720.,0.
kb,195964.,0.,195940.,0.,195940.,0.,195964.,0.,204148.,0.,204148.,0.
kb-no-exc,196700.,0.,196676.,0.,196676.,0.,196700.,0.,204852.,0.,204852.,0.
lexifi-g2pp,233340.,0.,233316.,0.,233316.,0.,233340.,0.,237908.,0.,237908.,0.
menhir-fancy,1039144.,0.,1033680.,0.,1033680.,0.,1040072.,0.,903312.,0.,903312.,0.
menhir-list-errors,1039144.,0.,1033680.,0.,,,1040072.,0.,,,903312.,0.
menhir-sql,1039144.,0.,1033680.,0.,1033680.,0.,1040072.,0.,903312.,0.,903312.,0.
menhir-standard,1039144.,0.,1033680.,0.,1033680.,0.,1040072.,0.,903312.,0.,903312.,0.
menhir-sysver,1039144.,0.,1033680.,0.,,,1040072.,0.,,,903312.,0.
minilight,354560.,0.,354536.,0.,354536.,0.,354976.,0.,323184.,0.,323184.,0.
numal-durand-kerner-aberth,209692.,0.,209668.,0.,209668.,0.,209692.,0.,210100.,0.,210100.,0.
numal-fft,184956.,0.,184932.,0.,184932.,0.,184956.,0.,192788.,0.,192788.,0.
numal-k-means,2639420.,0.,2639396.,0.,2639396.,0.,2639420.,0.,1238612.,0.,1238612.,0.
numal-levinson-durbin,206588.,0.,206564.,0.,206564.,0.,206588.,0.,219508.,0.,219508.,0.
numal-lu-decomposition,383868.,0.,383844.,0.,383844.,0.,383868.,0.,318900.,0.,318900.,0.
numal-naive-multilayer,351140.,0.,351116.,0.,351116.,0.,351140.,0.,341500.,0.,341500.,0.
numal-qr-decomposition,266172.,0.,266148.,0.,266148.,0.,266172.,0.,266804.,0.,266804.,0.
numal-rnd_access,111964.,0.,111940.,0.,111940.,0.,111964.,0.,121684.,0.,121684.,0.
numal-simple_access,92668.,0.,92644.,0.,92644.,0.,92668.,0.,105716.,0.,105716.,0.
patdiff,,,,,,,,,4252888.,0.,,
sauvola-contrast,,,,,,,,,,,483408.,0.
sequence,211228.,0.,211204.,0.,211204.,0.,211612.,0.,216244.,0.,216244.,0.
sequence-cps,175068.,0.,175044.,0.,175044.,0.,175068.,0.,184820.,0.,184820.,0.
setrip,300320.,0.,300296.,0.,300296.,0.,300736.,0.,285744.,0.,285744.,0.
setrip-smallbuf,300320.,0.,300296.,0.,300296.,0.,300736.,0.,285744.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1499296.,0.,1499328.,0.,1499312.,0.,1499296.,0.,11689156.,0.,11689154.,0.
bdd,78092088.,0.,78092092.,0.,78092090.,0.,78092088.,0.,76776821.,0.,76776856.,0.
cpdf-merge,191149171.,nan,190387747.,nan,186168648.,nan,190625002.,nan,197536374.,0.,197535883.,0.
cpdf-reformat,444797318.,nan,444797447.,nan,444797388.,nan,444797389.,nan,448744298.,0.,448744421.,0.
cpdf-squeeze,386787388.,0.,386787517.,0.,386787458.,0.,387311743.,0.,403639849.,0.,403639819.,0.
cpdf-transform,55783231.,0.,55783392.,0.,55783336.,0.,55783303.,0.,55760133.,0.,55760053.,0.
frama-c-deflate,,,,,,,,,,,2473364457.,74282.4629842
frama-c-idct,,,,,,,,,,,23799677.,nan
frama-c-monocypher,,,,,,,,,,,8673237.,nan
jsontrip-sample,5117399.,0.,5117396.,0.,5117393.,0.,5117681.,0.,7160787.,0.,7160780.,0.
kb,90482164.,0.,91006978.,0.,90482693.,0.,90220024.,0.,90578338.,0.,90578323.,0.
kb-no-exc,37609470.,nan,37609474.,nan,37609474.,nan,37609472.,nan,37503345.,0.,37503337.,0.
lexifi-g2pp,1583340397.,0.,1583340401.,0.,1579408257.,0.,1583340397.,0.,1678613139.,0.,1678613459.,0.
menhir-fancy,1371606.,0.,1359673.,0.,1359670.,0.,1371912.,0.,2238238.,0.,2238235.,0.
menhir-list-errors,2358446940.,nan,2407885033.,nan,,,2358489139.,nan,,,2535402363.,0.
menhir-sql,1019710626.,nan,1007629243.,nan,1007629239.,nan,1007697944.,nan,1032167599.,0.,1032167255.,0.
menhir-standard,2597074.,0.,2585280.,0.,2585276.,0.,2597249.,0.,1432106.,0.,1432097.,0.
menhir-sysver,8153552432.,nan,8153522224.,nan,,,8153661088.,nan,,,8344713496.,0.
minilight,9664218203.,0.,9661072537.,0.,9665266779.,0.,9661334695.,0.,9747431709.,0.,9747431685.,0.
numal-durand-kerner-aberth,76667112.,0.,76667116.,0.,76667114.,0.,76667114.,0.,77414765.,0.,77414786.,0.
numal-fft,274390355.,0.,274390359.,0.,274390357.,0.,274390355.,0.,264242360.,0.,264242358.,0.
numal-k-means,2563546.,0.,2563666.,0.,2563666.,0.,2563548.,0.,102494197.,0.,102494197.,0.
numal-levinson-durbin,964969369.,0.,964969373.,0.,964969373.,0.,964969371.,0.,1000786333.,0.,1000784001.,0.
numal-lu-decomposition,2318857.,0.,2318863.,0.,2318861.,0.,2318859.,0.,542217441.,0.,542217436.,0.
numal-naive-multilayer,2163946621.,0.,2169189502.,0.,2163946625.,0.,2163946623.,0.,2170639393.,0.,2170639423.,0.
numal-qr-decomposition,1645825049.,0.,1645562912.,0.,1645562910.,0.,1646087194.,0.,1711440719.,0.,1711440705.,0.
numal-rnd_access,1980960.,76333.5912427,1939404.,81485.6626407,1293732.66667,1097406.77277,971912.,1321305.38818,200003742.571,14831.3726816,200001224.,18246.8564233
numal-simple_access,227632417.,0.,227632421.,0.,227632419.,0.,227632419.,0.,640006197.,0.,640006201.,0.
patdiff,,,,,,,,,36596917.,0.,,
sequence,749670768.,0.,749670793.,0.,749670770.,0.,749670771.,0.,750492639.,0.,750492812.,0.
