time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
menhir-sql,1007629243.,nan,1007629239.,nan,1007697944.,nan,1032167599.,0.
menhir-standard,2585280.,0.,2585276.,0.,2597249.,0.,1432106.,0.
menhir-sysver,8153522224.,nan,,,8153661088.,nan,,
minilight,9661072537.,0.,9665266779.,0.,9661334695.,0.,9747431709.,0.
numal-durand-kerner-aberth,76667116.,0.,76667114.,0.,76667114.,0.,77414765.,0.
numal-fft,274390359.,0.,274390357.,0.,274390355.,0.,264242360.,0.
numal-k-means,2563666.,0.,2563666.,0.,2563548.,0.,102494197.,0.
numal-levinson-durbin,964969373.,0.,964969373.,0.,964969371.,0.,1000786333.,0.
numal-lu-decomposition,2318863.,0.,2318861.,0.,2318859.,0.,542217441.,0.
numal-naive-multilayer,2169189502.,0.,2163946625.,0.,2163946623.,0.,2170639393.,0.
numal-qr-decomposition,1645562912.,0.,1645562910.,0.,1646087194.,0.,1711440719.,0.
numal-rnd_access,1939404.,81485.6626407,1293732.66667,1097406.77277,2023120.,31146.6394977,200003742.571,14831.3726816
numal-simple_access,227632421.,0.,227632419.,0.,227632419.,0.,640006197.,0.
patdiff,,,,,,,36596917.,0.
sequence,749670793.,0.,749670770.,0.,749670771.,0.,750492639.,0.
sequence-cps,1502243949.,0.,1502243949.,0.,1502243947.,0.,1501298736.,0.
setrip,169514388.,0.,169514388.,0.,161912277.,0.,170650262.,0.
setrip-smallbuf,171087555.,0.,171087555.,0.,161388492.,0.,170650237.,0.

major_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,981.,0.,979.,0.,975.,0.,941.,0.
bdd,583198.,0.,583196.,0.,583194.,0.,616827.,0.
cpdf-merge,91601903.,nan,90412572.,nan,91649135.,nan,94605527.,0.
cpdf-reformat,75226803.,nan,75226835.,nan,75226856.,nan,76049963.,0.
cpdf-squeeze,132492385.,0.,132492420.,0.,132687652.,0.,138741284.,0.
cpdf-transform,28027020.,0.,28027018.,0.,28027040.,0.,27860239.,0.
jsontrip-sample,26481.,0.,26478.,0.,26499.,0.,29441.,0.
kb,4851134.,0.,4817598.,0.,4807082.,0.,4908177.,0.
kb-no-exc,4644391.,nan,4644391.,nan,4644410.,nan,4671664.,0.
lexifi-g2pp,266466.,0.,265899.,0.,266462.,0.,280169.,0.
menhir-fancy,272105.,0.,272102.,0.,273092.,0.,328731.,0.
menhir-list-errors,1136597006.,nan,,,1131344754.,nan,,
menhir-sql,55248638.,nan,55248631.,nan,55254451.,nan,56164943.,0.
menhir-standard,242342.,0.,242338.,0.,243336.,0.,271961.,0.
menhir-sysver,435451292.,nan,,,435462379.,nan,,
minilight,10553812.,0.,10557519.,0.,10554001.,0.,10642310.,0.
numal-durand-kerner-aberth,227971.,0.,227979.,0.,227979.,0.,237996.,0.
numal-fft,139784463.,0.,139784461.,0.,139784459.,0.,140022140.,0.
numal-k-means,526364.,0.,526364.,0.,526357.,0.,536219.,0.
numal-levinson-durbin,240820094.,0.,240820094.,0.,240820088.,0.,250070736.,0.
numal-lu-decomposition,4624734.,0.,4624732.,0.,4624730.,0.,7775146.,0.
numal-naive-multilayer,1259640.,0.,1256522.,0.,1256500.,0.,1284119.,0.
numal-qr-decomposition,2594492.,0.,2594502.,0.,2594976.,0.,2682974.,0.
numal-rnd_access,200000219.,0.,200000217.,0.,200000215.,0.,200000141.,0.
numal-simple_access,208961137.,0.,208961135.,0.,208961135.,0.,220001889.,0.
patdiff,,,,,,,8896447.,0.
sequence,37284.,0.,37288.,0.,37289.,0.,37749.,0.
sequence-cps,201401.,0.,201401.,0.,201399.,0.,214872.,0.
setrip,13231.,0.,13231.,0.,13034.,0.,13279.,0.
setrip-smallbuf,13317.,0.,13317.,0.,13054.,0.,13279.,0.

promoted_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,903.,0.,901.,0.,897.,0.,941.,0.
bdd,444236.,0.,444234.,0.,444232.,0.,477943.,0.
cpdf-merge,81102937.,nan,81048705.,nan,81088137.,nan,82892080.,0.
cpdf-reformat,64637309.,nan,64637341.,nan,64637362.,nan,65460559.,0.
cpdf-squeeze,120753073.,0.,120753108.,0.,120879420.,0.,123070655.,0.
cpdf-transform,26097001.,0.,26096999.,0.,26097021.,0.,25930310.,0.
jsontrip-sample,10007.,0.,10004.,0.,10025.,0.,13053.,0.
kb,4851056.,0.,4817520.,0.,4807004.,0.,4908177.,0.
kb-no-exc,4644313.,nan,4644313.,nan,4644332.,nan,4671664.,0.
lexifi-g2pp,266388.,0.,265821.,0.,266384.,0.,280169.,0.
menhir-fancy,140835.,0.,140832.,0.,141640.,0.,179489.,0.
menhir-list-errors,417115774.,nan,,,411870189.,nan,,
menhir-sql,45544086.,nan,45544079.,nan,45547407.,nan,46172576.,0.
menhir-standard,106023.,0.,106019.,0.,106835.,0.,123373.,0.
menhir-sysver,324378418.,nan,,,324404436.,nan,,
minilight,10537008.,0.,10540715.,0.,10537197.,0.,10625592.,0.
numal-durand-kerner-aberth,227893.,0.,227901.,0.,227901.,0.,237996.,0.
numal-fft,134541499.,0.,134541497.,0.,134541495.,0.,134779254.,0.
numal-k-means,351089.,0.,351089.,0.,351082.,0.,361022.,0.
numal-levinson-durbin,33720.,0.,33720.,0.,33714.,0.,47317.,0.
numal-lu-decomposition,156740.,0.,156738.,0.,156736.,0.,297668.,0.
numal-naive-multilayer,1259210.,0.,1256092.,0.,1256070.,0.,1283767.,0.
numal-qr-decomposition,2594414.,0.,2594424.,0.,2594898.,0.,2682974.,0.
numal-rnd_access,140.,0.,138.,0.,136.,0.,140.,0.
numal-simple_access,188961058.,0.,188961056.,0.,188961056.,0.,200001888.,0.
patdiff,,,,,,,6522407.,0.
sequence,37206.,0.,37210.,0.,37211.,0.,37749.,0.
sequence-cps,201323.,0.,201323.,0.,201321.,0.,214872.,0.
setrip,4952.,0.,4952.,0.,4755.,0.,5086.,0.
setrip-smallbuf,5038.,0.,5038.,0.,4775.,0.,5086.,0.

top_heap_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,32768.,0.,32768.,0.,36864.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,573081.,0.,565248.,0.
cpdf-merge,42903778.,nan,41250573.,nan,42956640.,nan,49650688.,0.
cpdf-reformat,30736225.,nan,30748513.,nan,30748513.,nan,32645632.,0.
cpdf-squeeze,39037390.,0.,39037390.,0.,39037649.,0.,43174400.,0.
cpdf-transform,15729863.,0.,15729863.,0.,15729863.,0.,19150848.,0.
jsontrip-sample,94607.,0.,94607.,0.,90511.,0.,565248.,0.
kb,446464.,0.,446464.,0.,446464.,0.,587264.,0.
kb-no-exc,507904.,nan,507904.,nan,507904.,nan,628224.,0.
lexifi-g2pp,156643.,0.,152547.,0.,156643.,0.,593408.,0.
menhir-fancy,357664.,0.,357664.,0.,357902.,0.,491520.,0.
menhir-list-errors,399731040.,nan,,,399423840.,nan,,
menhir-sql,48188043.,nan,48192139.,nan,48192139.,nan,49650688.,0.
menhir-standard,323978.,0.,323978.,0.,324216.,0.,491520.,0.
menhir-sysver,94239995.,nan,,,94260475.,nan,,
minilight,1106522.,0.,1106522.,0.,1106522.,0.,860672.,0.
numal-durand-kerner-aberth,45056.,0.,49152.,0.,49152.,0.,565248.,0.
numal-fft,55193618.,0.,55197714.,0.,55193618.,0.,85220352.,0.
numal-k-means,564323.,0.,564323.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,18155498.,0.,565248.,0.
numal-lu-decomposition,4675988.,0.,4680084.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,69986.,0.,74082.,0.,74082.,0.,565248.,0.
numal-qr-decomposition,1263179.,0.,1263179.,0.,1263567.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,209259779.,0.,209263875.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,,,3861504.,0.
sequence,36864.,0.,36864.,0.,32768.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,32768.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,65539.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,65539.,0.,565248.,0.

minor_collections,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,1.,0.,1.,0.,44.,0.
bdd,291.,0.,291.,0.,291.,0.,294.,0.
cpdf-merge,730.,nan,714.,nan,731.,nan,771.,0.
cpdf-reformat,1694.,nan,1694.,nan,1694.,nan,1726.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1478.,0.,1561.,0.
cpdf-transform,214.,0.,214.,0.,214.,0.,221.,0.
jsontrip-sample,17.,0.,17.,0.,17.,0.,29.,0.
kb,343.,0.,341.,0.,340.,0.,387.,0.
kb-no-exc,143.,nan,143.,nan,143.,nan,170.,0.
lexifi-g2pp,6038.,0.,6023.,0.,6038.,0.,6407.,0.
menhir-fancy,5.,0.,5.,0.,5.,0.,9.,0.
menhir-list-errors,9282.,nan,,,9102.,nan,,
menhir-sql,3867.,nan,3867.,nan,3867.,nan,3966.,0.
menhir-standard,4.,0.,4.,0.,4.,0.,5.,0.
menhir-sysver,31186.,nan,,,31186.,nan,,
minilight,36851.,0.,36867.,0.,36852.,0.,37210.,0.
numal-durand-kerner-aberth,290.,0.,290.,0.,290.,0.,338.,0.
numal-fft,183.,0.,183.,0.,183.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,391.,0.
numal-levinson-durbin,3676.,0.,3676.,0.,3676.,0.,6385.,0.
numal-lu-decomposition,20.,0.,20.,0.,20.,0.,2098.,0.
numal-naive-multilayer,8273.,0.,8253.,0.,8253.,0.,8352.,0.
numal-qr-decomposition,6273.,0.,6273.,0.,6275.,0.,6560.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,763.142857143,0.377964473009
