time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
menhir-standard,323978.,0.,323978.,0.,491520.,0.
menhir-sysver,84510732.,nan,,,,
minilight,1094234.,0.,1094234.,0.,860672.,0.
numal-durand-kerner-aberth,45056.,0.,49152.,0.,73728.,0.
numal-fft,50319369.,0.,50323465.,0.,85220352.,0.
numal-k-means,564323.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,245760.,0.
numal-lu-decomposition,4675988.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,69986.,0.,74082.,0.,73728.,0.
numal-qr-decomposition,1263179.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,209259779.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,3527680.,0.
sequence,36864.,0.,36864.,0.,73728.,0.
sequence-cps,32768.,0.,32768.,0.,73728.,0.
setrip,65539.,0.,65539.,0.,73728.,0.
setrip-smallbuf,65539.,0.,65539.,0.,73728.,0.

heap_chunks,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,,,,,1.,0.
bdd,,,,,2.,0.
cpdf-merge,,,,,34.,0.
cpdf-reformat,,,,,31.,0.
cpdf-squeeze,,,,,33.,0.
cpdf-transform,,,,,22.,0.
jsontrip-sample,,,,,1.,0.
kb,,,,,7.,0.
kb-no-exc,,,,,8.,0.
lexifi-g2pp,,,,,2.,0.
menhir-fancy,,,,,1.,0.
menhir-sql,,,,,34.,0.
menhir-standard,,,,,1.,0.
minilight,,,,,5.,0.
numal-durand-kerner-aberth,,,,,1.,0.
numal-fft,,,,,13.,0.
numal-k-means,,,,,2.,0.
numal-levinson-durbin,,,,,4.,0.
numal-lu-decomposition,,,,,21.,0.
numal-naive-multilayer,,,,,1.,0.
numal-qr-decomposition,,,,,1.,0.
numal-rnd_access,,,,,2.,0.
numal-simple_access,,,,,15.,0.
patdiff,,,,,9.,0.
sequence,,,,,1.,0.
sequence-cps,,,,,1.,0.
setrip,,,,,1.,0.
setrip-smallbuf,,,,,1.,0.

mean_space_overhead,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,0.,0.,0.,0.,,
bdd,29.482144,7.29001465121e-15,29.485306,3.64500732561e-15,,
cpdf-squeeze,29.342826,0.,29.218629,0.,,
cpdf-transform,32.846182,0.,32.84631,0.,,
jsontrip-sample,334.722222,1.76607496612e-12,334.791105,1.880034021e-12,,
kb,91.123729,1.50728876034e-14,66.924631,1.50728876034e-14,,
lexifi-g2pp,96.780763,0.,91.8504,0.,,
menhir-fancy,0.,0.,0.,0.,,
menhir-standard,0.,0.,0.,0.,,
minilight,52.336037,0.,52.208121,0.,,
numal-durand-kerner-aberth,600.463559,1.14864971133e-13,656.331542,0.,,
numal-fft,38.612394,0.,38.656878,0.,,
numal-k-means,11.47746,5.38928791564e-15,11.47746,5.38928791564e-15,,
numal-levinson-durbin,95.500088,0.,95.500088,0.,,
numal-lu-decomposition,24.214355,0.,26.466785,3.9720546452e-15,,
numal-naive-multilayer,183.903689,0.,197.103607,0.,,
numal-qr-decomposition,55.801197,0.,57.744404,0.,,
numal-rnd_access,0.,0.,0.,0.,,
numal-simple_access,3913.5539,5.56949485777e-13,4629.648832,0.,,
sequence,7362.348178,0.,7392.682927,0.,,
sequence-cps,7837.636631,0.,7837.636631,0.,,
setrip,624.297617,0.,624.297617,0.,,
setrip-smallbuf,623.105798,0.,623.105798,0.,,

