time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
kb,0.97449827145,0.,0.732980140379,0.,1.,0.,0.97449827145,0.,0.763809694847,0.
kb-no-exc,0.974219344443,0.,0.733450698972,0.,1.,0.,0.974219344443,0.,0.764065227446,0.
lexifi-g2pp,0.975577479921,0.,0.764134009407,0.,1.,0.,0.975577479921,0.,0.779280164564,0.
menhir-fancy,0.96423625999,0.,0.907490844679,0.,1.,0.,0.96423625999,0.,0.792973774663,0.
menhir-sql,0.96423625999,0.,0.907490844679,0.,1.,0.,0.96423625999,0.,0.792973774663,0.
menhir-standard,0.96423625999,0.,0.907490844679,0.,1.,0.,0.96423625999,0.,0.792973774663,0.
minilight,0.973896553006,0.,0.823876101588,0.,1.,0.,0.973896553006,0.,0.751087643625,0.
numal-durand-kerner-aberth,0.973637487039,0.,0.744414300527,0.,1.,0.,0.973637487039,0.,0.746061957587,0.
numal-fft,0.977675701946,0.,0.724677442112,0.,1.,0.,0.977675701946,0.,0.755592832395,0.
numal-k-means,0.997243990737,0.,0.973485188659,0.,1.,0.,0.997243990737,0.,0.457822899905,0.
numal-levinson-durbin,0.996471159077,0.,0.759186014027,0.,1.,0.,0.996471159077,0.,0.8068841805,0.
numal-lu-decomposition,0.983780794987,0.,0.842143603156,0.,1.,0.,0.983780794987,0.,0.699716514977,0.
numal-naive-multilayer,0.98089358368,0.,0.828552009289,0.,1.,0.,0.98089358368,0.,0.805933939377,0.
numal-qr-decomposition,0.97822665578,0.,0.787260226963,0.,1.,0.,0.97822665578,0.,0.789295561314,0.
numal-rnd_access,0.98941395474,0.,0.627469890327,0.,1.,0.,0.98941395474,0.,0.682284073833,0.
numal-simple_access,0.994130000253,0.,0.585810793715,0.,1.,0.,0.994130000253,0.,0.668699238418,0.
patdiff,,,,,,,,,1.,0.
sauvola-contrast,,,,,,,,,1.,0.
sequence,0.9721325116,0.,0.744538621011,0.,1.,0.,0.9721325116,0.,0.762421199599,0.
sequence-cps,0.978691069532,0.,0.714976713784,0.,1.,0.,0.978691069532,0.,0.755045346842,0.
setrip,0.971123131309,0.,0.799288726096,0.,1.,0.,0.971123131309,0.,0.760637165126,0.
setrip-smallbuf,0.971123131309,0.,0.799288726096,0.,1.,0.,0.971123131309,0.,0.760637165126,0.

minor_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1.,0.,0.999998747211,0.,1.,0.,1.,0.,0.915252737657,0.
bdd,1.,0.,0.999999974475,0.,1.,0.,1.,0.,0.979868706,0.
cpdf-merge,0.999997879113,0.,0.999998825666,0.,1.,0.,0.999999792467,0.,0.999883842196,0.
cpdf-reformat,0.999999948834,0.,0.999999773089,0.,1.,0.,0.999999948834,0.,0.998283553832,0.
cpdf-squeeze,0.999999943021,0.,0.99999974731,0.,1.,0.,0.999999943021,0.,0.999958821418,0.
cpdf-transform,0.99999964147,0.,0.99999759785,0.,1.,0.,0.99999964147,0.,0.999582097638,0.
frama-c-deflate,,,,,,,,,1.,3.00348842815e-05
