time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
setrip-smallbuf,4980.,0.,5038.,0.,5038.,0.,5086.,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,36864.,0.,32768.,0.,32768.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,573081.,0.,565248.,0.
cpdf-merge,43087817.,nan,42903778.,nan,41250573.,nan,49650688.,0.
cpdf-reformat,30748513.,nan,30736225.,nan,30748513.,nan,32645632.,0.
cpdf-squeeze,39039677.,0.,39037390.,0.,39037390.,0.,43174400.,0.
cpdf-transform,15729863.,0.,15729863.,0.,15729863.,0.,19150848.,0.
jsontrip-sample,94607.,0.,94607.,0.,94607.,0.,565248.,0.
kb,442368.,0.,446464.,0.,446464.,0.,587264.,0.
kb-no-exc,507904.,nan,507904.,nan,507904.,nan,628224.,0.
lexifi-g2pp,156643.,0.,156643.,0.,152547.,0.,593408.,0.
menhir-fancy,357902.,0.,357664.,0.,357664.,0.,491520.,0.
menhir-list-errors,399419744.,nan,399731040.,nan,,,,
menhir-sql,49836494.,nan,48188043.,nan,48192139.,nan,49650688.,0.
menhir-standard,324216.,0.,323978.,0.,323978.,0.,491520.,0.
menhir-sysver,95497467.,nan,94239995.,nan,,,,
minilight,1106522.,0.,1106522.,0.,1106522.,0.,860672.,0.
numal-durand-kerner-aberth,49152.,0.,45056.,0.,49152.,0.,565248.,0.
numal-fft,55193618.,0.,55193618.,0.,55197714.,0.,85220352.,0.
numal-k-means,560227.,0.,564323.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,18155498.,0.,565248.,0.
numal-lu-decomposition,4680084.,0.,4675988.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,69986.,0.,74082.,0.,565248.,0.
